"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
8.52,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
5.159,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
33.932,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
36.41,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.576,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
27.151,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
6.297,1,2.24,0,0,0,0,1,0,0,0,0,0
7.316,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
35.082,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
23.946,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
12.554,1,2.24,0,0,0,0,1,0,0,0,0,0
12.379,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
8.016,1,2.24,0,0,0,0,1,0,0,0,0,0
10.912,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
39.542,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
30.171,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.383,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
7.725,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
24.688,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
13.779,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
13.148,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
11.467,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
35.177,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
27.617,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
29.317,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
10.537,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
39.457,50,1065.02231025696,0,0,0,0,0,0,0,0,1,0
8.044,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
22.928,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.562,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
11.196,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
35.231,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
21.529,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
9.6,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
10.967,1,2.24,0,0,0,0,1,0,0,0,0,0
7.941,1,2.24,0,0,0,0,1,0,0,0,0,0
8.459,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
25.659,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
49.234,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
8.62,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
22.576,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
21.805,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
28.993,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
12.373,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
8.844,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
14.375,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
24.307,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
28.959,1,2.24,0,0,0,0,1,0,0,0,0,0
4.582,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
25.793,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
13.752,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
29.866,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
18.249,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
10.431,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
7.926,1,2.24,0,0,0,0,1,0,0,0,0,0
